Event{eventType='click', uid='e9b23c2d-f94a-4e17-a7ea-04f49393e86514', timestamp=1625754624, ip='238.186.83.58', impressionId='2c6f98c6-8136-42f1-a96d-fe9d9f47f2b9'}
Event{eventType='click', uid='d245eea4-00c2-4eda-a5a8-a1f37d7e111a13', timestamp=1625754624, ip='238.186.83.58', impressionId='af25964e-5707-4e96-a4ab-85a83174c8fa'}
Event{eventType='click', uid='c4051611-e6ea-49ce-b15e-acbd408443ef15', timestamp=1625754624, ip='238.186.83.58', impressionId='3d46ef86-7dd9-44f0-9c3c-dbd44cb03c5b'}
Event{eventType='click', uid='e2cb0249-82a9-44e2-9e11-a6cf50a13f4111', timestamp=1625754624, ip='238.186.83.58', impressionId='ec1dd1a8-756f-4abe-8cab-b3db3c4bef0f'}
Event{eventType='click', uid='198f2aa9-477c-4dd3-8950-04ff8014eccc16', timestamp=1625754624, ip='238.186.83.58', impressionId='b270c400-0056-44d5-9197-15b6dab118a6'}
Event{eventType='click', uid='20e581dc-063e-47a3-b70f-28789214003b17', timestamp=1625754624, ip='238.186.83.58', impressionId='5b253c38-28c0-411e-a436-6c0a93a9fc5e'}
Event{eventType='click', uid='e5dbcb6e-7e85-4527-8f0c-bbe12f0c627110', timestamp=1625754624, ip='238.186.83.58', impressionId='fb533204-5b48-448b-8a87-69e0097fabf6'}
Event{eventType='click', uid='d0ebfe76-9dc3-4f29-85a3-12b099fed1f412', timestamp=1625754624, ip='238.186.83.58', impressionId='533947c5-65d3-493c-a881-5d446d00d8fc'}
Event{eventType='display', uid='f86a609c-cdb3-4b9f-9003-37ec73a2f8db', timestamp=1625754624, ip='165.32.113.188', impressionId='b4fd2aaf-f7f5-41e2-bc71-8ba83d85d84c'}
Event{eventType='display', uid='e5dbcb6e-7e85-4527-8f0c-bbe12f0c627110', timestamp=1625754624, ip='238.186.83.58', impressionId='fb533204-5b48-448b-8a87-69e0097fabf6'}
Event{eventType='display', uid='e2cb0249-82a9-44e2-9e11-a6cf50a13f4111', timestamp=1625754624, ip='238.186.83.58', impressionId='ec1dd1a8-756f-4abe-8cab-b3db3c4bef0f'}
Event{eventType='display', uid='d0ebfe76-9dc3-4f29-85a3-12b099fed1f412', timestamp=1625754624, ip='238.186.83.58', impressionId='533947c5-65d3-493c-a881-5d446d00d8fc'}
Event{eventType='display', uid='d245eea4-00c2-4eda-a5a8-a1f37d7e111a13', timestamp=1625754624, ip='238.186.83.58', impressionId='af25964e-5707-4e96-a4ab-85a83174c8fa'}
Event{eventType='display', uid='e9b23c2d-f94a-4e17-a7ea-04f49393e86514', timestamp=1625754624, ip='238.186.83.58', impressionId='2c6f98c6-8136-42f1-a96d-fe9d9f47f2b9'}
Event{eventType='display', uid='c4051611-e6ea-49ce-b15e-acbd408443ef15', timestamp=1625754624, ip='238.186.83.58', impressionId='3d46ef86-7dd9-44f0-9c3c-dbd44cb03c5b'}
