Event{eventType='click', uid='8b96089f-3d56-4374-8ddf-2f5315cc3ba718', timestamp=1625754624, ip='238.186.83.58', impressionId='eab85c11-2b36-40ef-9370-943859083c68'}
Event{eventType='click', uid='732bd7f9-1e5c-4abc-80b2-46f2a30b5e1f19', timestamp=1625754624, ip='238.186.83.58', impressionId='5f78403a-fac6-4d48-b527-7623623c40e2'}
Event{eventType='click', uid='732bd7f9-1e5c-4abc-80b2-46f2a30b5e1f19', timestamp=1625754624, ip='238.186.83.58', impressionId='5f78403a-fac6-4d48-b527-7623623c40e2'}
Event{eventType='click', uid='15f46e81-e34d-42eb-b64e-ec2134f440d211', timestamp=1625754634, ip='238.186.83.58', impressionId='1af8bc92-9dc1-4374-846a-373fe6c466c0'}
Event{eventType='click', uid='15f46e81-e34d-42eb-b64e-ec2134f440d211', timestamp=1625754634, ip='238.186.83.58', impressionId='1af8bc92-9dc1-4374-846a-373fe6c466c0'}
Event{eventType='click', uid='37c2f5d1-9df2-459f-9e97-78e42bffdc8b14', timestamp=1625754634, ip='238.186.83.58', impressionId='08bca7cb-8a5d-42b4-b450-2f864f38c280'}
Event{eventType='click', uid='37c2f5d1-9df2-459f-9e97-78e42bffdc8b14', timestamp=1625754634, ip='238.186.83.58', impressionId='08bca7cb-8a5d-42b4-b450-2f864f38c280'}
Event{eventType='click', uid='6178281c-642b-4a2a-b7d0-74de875dd8fc10', timestamp=1625754634, ip='238.186.83.58', impressionId='0a886284-d89d-4b1e-8d71-ea1a1db6ed95'}
Event{eventType='click', uid='6178281c-642b-4a2a-b7d0-74de875dd8fc10', timestamp=1625754634, ip='238.186.83.58', impressionId='0a886284-d89d-4b1e-8d71-ea1a1db6ed95'}
Event{eventType='click', uid='da1448e2-dc13-48f7-9c45-bc4bbc6f318117', timestamp=1625754634, ip='238.186.83.58', impressionId='e4d050a2-7040-4653-9bae-9b872e4304db'}
Event{eventType='click', uid='da1448e2-dc13-48f7-9c45-bc4bbc6f318117', timestamp=1625754634, ip='238.186.83.58', impressionId='e4d050a2-7040-4653-9bae-9b872e4304db'}
Event{eventType='click', uid='24aa67ce-819c-40d0-a5be-13d9a966ff9d12', timestamp=1625754634, ip='238.186.83.58', impressionId='9c56fba6-8ae6-4f41-be0c-0a43194e6012'}
Event{eventType='click', uid='24aa67ce-819c-40d0-a5be-13d9a966ff9d12', timestamp=1625754634, ip='238.186.83.58', impressionId='9c56fba6-8ae6-4f41-be0c-0a43194e6012'}
Event{eventType='click', uid='e1709259-7999-42b4-8ada-bd4f3b99c24013', timestamp=1625754634, ip='238.186.83.58', impressionId='83f1f4bc-665b-40ff-aae4-287e11fd00a1'}
Event{eventType='click', uid='e1709259-7999-42b4-8ada-bd4f3b99c24013', timestamp=1625754634, ip='238.186.83.58', impressionId='83f1f4bc-665b-40ff-aae4-287e11fd00a1'}
Event{eventType='click', uid='bfaa9047-12c6-4deb-972e-95e16715dfed18', timestamp=1625754634, ip='238.186.83.58', impressionId='8ac5fedf-6c41-4e47-bbf3-61bbf680ed52'}
Event{eventType='click', uid='bfaa9047-12c6-4deb-972e-95e16715dfed18', timestamp=1625754634, ip='238.186.83.58', impressionId='8ac5fedf-6c41-4e47-bbf3-61bbf680ed52'}
Event{eventType='click', uid='21f1b32f-22a9-4cc3-b56a-465f6d4deac319', timestamp=1625754634, ip='238.186.83.58', impressionId='33f78482-e23f-4e76-b299-12c3d6fcf21d'}
Event{eventType='click', uid='21f1b32f-22a9-4cc3-b56a-465f6d4deac319', timestamp=1625754634, ip='238.186.83.58', impressionId='33f78482-e23f-4e76-b299-12c3d6fcf21d'}
Event{eventType='click', uid='5729a4ea-bc3d-488c-b6be-72599e17cd3215', timestamp=1625754634, ip='238.186.83.58', impressionId='ec6f632e-d887-40c0-b0a7-a99ae62fa5bb'}
Event{eventType='click', uid='5729a4ea-bc3d-488c-b6be-72599e17cd3215', timestamp=1625754634, ip='238.186.83.58', impressionId='ec6f632e-d887-40c0-b0a7-a99ae62fa5bb'}
Event{eventType='click', uid='e911eae4-fa39-4558-9a13-9a806fdb9f7116', timestamp=1625754634, ip='238.186.83.58', impressionId='fa6049d7-0fad-4d3c-a1ce-e5219a2a6cee'}
Event{eventType='click', uid='e911eae4-fa39-4558-9a13-9a806fdb9f7116', timestamp=1625754634, ip='238.186.83.58', impressionId='fa6049d7-0fad-4d3c-a1ce-e5219a2a6cee'}
Event{eventType='click', uid='bd1679cd-968e-4e58-bcbf-c62ff24ef01f11', timestamp=1625754644, ip='238.186.83.58', impressionId='565baf6b-437e-42f4-9fb1-208f1039495c'}
Event{eventType='click', uid='bd1679cd-968e-4e58-bcbf-c62ff24ef01f11', timestamp=1625754644, ip='238.186.83.58', impressionId='565baf6b-437e-42f4-9fb1-208f1039495c'}
Event{eventType='click', uid='170e99e7-ad25-4fb4-9001-cd016d4a921b13', timestamp=1625754644, ip='238.186.83.58', impressionId='27f02644-cfbf-43a5-bc08-b116a378a0df'}
Event{eventType='click', uid='170e99e7-ad25-4fb4-9001-cd016d4a921b13', timestamp=1625754644, ip='238.186.83.58', impressionId='27f02644-cfbf-43a5-bc08-b116a378a0df'}
Event{eventType='click', uid='cc9d05df-298e-4149-9ee4-74cf1e5c90d015', timestamp=1625754644, ip='238.186.83.58', impressionId='7ebe087f-59ea-4c8c-908b-5562a64d77fb'}
Event{eventType='click', uid='cc9d05df-298e-4149-9ee4-74cf1e5c90d015', timestamp=1625754644, ip='238.186.83.58', impressionId='7ebe087f-59ea-4c8c-908b-5562a64d77fb'}
Event{eventType='click', uid='26aa6f09-db8e-4bed-8a3a-8fc659e4543310', timestamp=1625754644, ip='238.186.83.58', impressionId='0383dd42-0f8d-495b-b0a4-7dc6a4886aa0'}
Event{eventType='click', uid='26aa6f09-db8e-4bed-8a3a-8fc659e4543310', timestamp=1625754644, ip='238.186.83.58', impressionId='0383dd42-0f8d-495b-b0a4-7dc6a4886aa0'}
Event{eventType='click', uid='8752d630-e89d-4788-adbd-887dd0568dfb12', timestamp=1625754644, ip='238.186.83.58', impressionId='5e7acd61-6f28-4800-9de1-427b7149c2cf'}
Event{eventType='click', uid='8752d630-e89d-4788-adbd-887dd0568dfb12', timestamp=1625754644, ip='238.186.83.58', impressionId='5e7acd61-6f28-4800-9de1-427b7149c2cf'}
Event{eventType='click', uid='48f6dba7-6a36-4e73-bb8d-af0f1a8c8e2e14', timestamp=1625754644, ip='238.186.83.58', impressionId='cc7b18cd-6d67-46cc-b6bb-734cfba6399e'}
Event{eventType='click', uid='48f6dba7-6a36-4e73-bb8d-af0f1a8c8e2e14', timestamp=1625754644, ip='238.186.83.58', impressionId='cc7b18cd-6d67-46cc-b6bb-734cfba6399e'}
Event{eventType='click', uid='38cd163a-30e4-49b5-8db0-d987d5d0173316', timestamp=1625754644, ip='238.186.83.58', impressionId='52708db5-5d8d-4fdc-af4a-f06ed0b585f4'}
Event{eventType='click', uid='38cd163a-30e4-49b5-8db0-d987d5d0173316', timestamp=1625754644, ip='238.186.83.58', impressionId='52708db5-5d8d-4fdc-af4a-f06ed0b585f4'}
Event{eventType='click', uid='8af8f307-9ea2-4b6f-a170-1ba1e56c865317', timestamp=1625754644, ip='238.186.83.58', impressionId='09445143-08b1-4ce0-9a0e-04c19c0c2a21'}
Event{eventType='click', uid='8af8f307-9ea2-4b6f-a170-1ba1e56c865317', timestamp=1625754644, ip='238.186.83.58', impressionId='09445143-08b1-4ce0-9a0e-04c19c0c2a21'}
Event{eventType='click', uid='844f12b9-1fef-46a9-8cf4-bb0a5eb7c68b18', timestamp=1625754644, ip='238.186.83.58', impressionId='e14fc5bb-3b4a-4dcd-b241-f2bb8f186607'}
Event{eventType='click', uid='844f12b9-1fef-46a9-8cf4-bb0a5eb7c68b18', timestamp=1625754644, ip='238.186.83.58', impressionId='e14fc5bb-3b4a-4dcd-b241-f2bb8f186607'}
Event{eventType='click', uid='6d17a58f-0ac1-4be3-a214-12e1447720b319', timestamp=1625754644, ip='238.186.83.58', impressionId='b86c0d39-306b-4b00-b515-861c3c2d84c5'}
Event{eventType='click', uid='6d17a58f-0ac1-4be3-a214-12e1447720b319', timestamp=1625754644, ip='238.186.83.58', impressionId='b86c0d39-306b-4b00-b515-861c3c2d84c5'}
Event{eventType='click', uid='cc8f8b66-977b-466c-b4b9-ac7cf18ee59214', timestamp=1625754654, ip='238.186.83.58', impressionId='ab11a3a5-0bec-4a8c-be2a-3dfcc4b9005f'}
Event{eventType='click', uid='cc8f8b66-977b-466c-b4b9-ac7cf18ee59214', timestamp=1625754654, ip='238.186.83.58', impressionId='ab11a3a5-0bec-4a8c-be2a-3dfcc4b9005f'}
Event{eventType='click', uid='78978c52-8479-4de2-b17e-3d714311ac1815', timestamp=1625754654, ip='238.186.83.58', impressionId='5c32f5da-bf9a-4a4e-956c-942435a2b420'}
Event{eventType='click', uid='78978c52-8479-4de2-b17e-3d714311ac1815', timestamp=1625754654, ip='238.186.83.58', impressionId='5c32f5da-bf9a-4a4e-956c-942435a2b420'}
Event{eventType='click', uid='bd994c25-5002-4aae-8d5a-9bc971660f8e16', timestamp=1625754654, ip='238.186.83.58', impressionId='55dd9f3f-4f68-4a7c-a44f-32e5e0cdf26d'}
Event{eventType='click', uid='bd994c25-5002-4aae-8d5a-9bc971660f8e16', timestamp=1625754654, ip='238.186.83.58', impressionId='55dd9f3f-4f68-4a7c-a44f-32e5e0cdf26d'}
Event{eventType='click', uid='7571d73d-38c9-47f9-9502-e7bd0b89b77910', timestamp=1625754654, ip='238.186.83.58', impressionId='43ae8f6b-785b-40c0-8b30-ae0b7c17538d'}
